time_est,open,high,low,close
05:00,4463.165,4463.165,4461.375,4461.435
05:01,4461.495,4462.275,4461.105,4462.275
05:02,4462.258,4462.595,4461.335,4461.545
05:03,4461.485,4463.325,4461.325,4462.685
05:04,4462.715,4463.825,4462.695,4463.465
05:05,4463.535,4463.885,4462.795,4463.205
05:06,4463.335,4464.575,4463.305,4464.505
05:07,4464.505,4464.835,4463.135,4464.715
05:08,4464.765,4465.465,4464.095,4464.165
05:09,4464.145,4464.275,4462.545,4463.165
05:10,4463.195,4463.835,4463.125,4463.395
05:11,4463.395,4463.395,4462.085,4462.425
05:12,4462.355,4463.375,4462.125,4463.075
05:13,4463.135,4464.265,4463.135,4463.975
05:14,4464.215,4464.915,4464.215,4464.595
05:15,4464.595,4466.445,4464.395,4465.815
05:16,4465.865,4466.135,4464.925,4464.995
05:17,4464.985,4465.785,4464.795,4465.325
05:18,4465.325,4465.325,4464.565,4464.665
05:19,4464.675,4465.495,4464.555,4464.775
05:20,4464.725,4465.425,4464.445,4464.705
05:21,4464.735,4464.905,4464.095,4464.335
05:22,4464.365,4464.485,4463.935,4464.385
05:23,4464.495,4465.075,4464.365,4464.855
05:24,4464.455,4464.485,4463.305,4464.195
05:25,4464.205,4464.525,4462.355,4462.675
05:26,4462.715,4462.855,4460.625,4460.955
05:27,4460.955,4461.075,4459.925,4460.285
05:28,4460.265,4461.355,4459.265,4460.535
05:29,4460.535,4460.635,4458.495,4459.695
05:30,4459.695,4461.215,4458.805,4459.415
05:31,4459.455,4460.525,4458.548,4460.395
05:32,4460.065,4461.325,4459.915,4461.045
05:33,4461.045,4463.225,4461.015,4463.035
05:34,4463.085,4464.335,4463.085,4463.445
05:35,4463.435,4464.595,4463.175,4464.075
05:36,4464.035,4464.335,4463.535,4464.265
05:37,4464.305,4464.735,4464.175,4464.655
05:38,4464.495,4465.405,4463.845,4464.845
05:39,4464.795,4465.135,4464.345,4464.475
05:40,4464.455,4465.835,4464.415,4465.835
05:41,4465.905,4467.005,4465.305,4465.325
05:42,4465.355,4465.355,4464.425,4464.785
05:43,4464.775,4465.845,4464.335,4464.855
05:44,4464.825,4465.995,4464.825,4465.725
05:45,4465.585,4466.505,4465.415,4466.475
05:46,4466.535,4467.475,4466.535,4466.955
05:47,4466.975,4467.345,4466.645,4467.145
05:48,4467.265,4467.345,4466.285,4466.325
05:49,4466.475,4466.595,4465.748,4466.115
05:50,4466.085,4466.625,4465.785,4466.515
05:51,4466.475,4466.805,4466.048,4466.115
05:52,4466.155,4466.155,4465.335,4465.815
05:53,4465.795,4465.855,4464.995,4465.365
05:54,4465.345,4465.455,4464.548,4464.615
05:55,4464.655,4464.725,4463.885,4464.275
05:56,4464.235,4464.765,4463.985,4464.405
05:57,4464.375,4464.715,4463.585,4463.665
05:58,4463.685,4464.545,4463.485,4463.485
05:59,4463.535,4464.095,4463.495,4464.095
06:00,4464.065,4464.205,4463.345,4463.415
06:01,4463.375,4463.515,4462.245,4462.345
06:02,4462.315,4462.755,4461.545,4462.675
06:03,4462.705,4464.365,4462.705,4464.365
06:04,4464.345,4464.745,4463.585,4463.975
06:05,4463.945,4464.125,4462.935,4463.615
06:06,4463.695,4463.695,4462.755,4462.755
06:07,4462.715,4462.775,4460.905,4462.615
06:08,4462.645,4462.945,4461.645,4461.855
06:09,4462.215,4462.555,4461.825,4462.185
06:10,4462.205,4463.055,4461.505,4461.745
06:11,4461.775,4462.415,4461.275,4461.645
06:12,4461.665,4462.795,4461.295,4462.285
06:13,4462.315,4462.405,4461.065,4462.245
06:14,4462.165,4462.225,4461.475,4461.515
06:15,4461.485,4461.545,4460.245,4460.635
06:16,4460.665,4462.445,4460.218,4462.435
06:17,4462.465,4462.565,4461.955,4462.555
06:18,4462.525,4463.495,4462.525,4463.035
06:19,4463.015,4464.015,4462.175,4462.545
06:20,4462.465,4462.555,4461.245,4461.935
06:21,4461.905,4462.335,4460.865,4460.985
06:22,4460.955,4461.115,4460.485,4460.565
06:23,4460.605,4460.725,4459.805,4459.965
06:24,4459.945,4460.425,4459.258,4459.458
06:25,4459.458,4459.458,4457.225,4457.225
06:26,4457.125,4457.815,4454.945,4457.405
06:27,4457.375,4458.825,4457.375,4458.525
06:28,4458.595,4460.035,4458.575,4458.955
06:29,4458.925,4459.295,4458.745,4458.815
06:30,4458.875,4459.935,4458.145,4458.255
06:31,4458.285,4458.785,4457.815,4458.015
06:32,4458.305,4458.755,4457.055,4457.645
06:33,4457.675,4457.835,4456.085,4456.135
06:34,4456.095,4457.135,4454.595,4454.795
06:35,4454.775,4455.475,4453.885,4454.185
06:36,4454.165,4454.165,4451.945,4453.345
06:37,4453.285,4454.405,4453.055,4454.295
06:38,4454.295,4454.468,4452.208,4452.695
06:39,4452.705,4452.785,4450.178,4451.215
06:40,4451.145,4453.365,4451.128,4453.365
06:41,4453.385,4453.765,4452.798,4452.905
06:42,4452.898,4452.898,4451.305,4451.738
06:43,4451.738,4452.595,4451.065,4451.525
06:44,4451.545,4451.595,4450.155,4450.155
06:45,4450.185,4451.775,4449.695,4451.265
06:46,4451.245,4451.615,4449.455,4449.655
06:47,4449.735,4451.555,4448.775,4451.215
06:48,4451.175,4451.955,4450.595,4451.665
06:49,4451.645,4451.725,4449.405,4450.195
06:50,4450.175,4451.805,4449.965,4451.335
06:51,4451.315,4452.045,4451.075,4451.135
06:52,4451.175,4452.095,4450.915,4451.555
06:53,4451.595,4451.715,4449.165,4450.295
06:54,4450.315,4454.385,4450.245,4453.655
06:55,4453.585,4453.635,4451.815,4451.895
06:56,4451.995,4452.405,4450.075,4451.095
06:57,4451.125,4451.955,4451.065,4451.225
06:58,4451.285,4451.825,4447.305,4447.595
06:59,4447.545,4447.615,4446.255,4447.135
07:00,4447.505,4449.935,4447.425,4449.935
